OBJECTID,CT20,LABEL,ShapeSTArea,ShapeSTLength
4992,101110,1011.10,12295621.3533394,15083.8542873678
4993,101122,1011.22,28457743.5754277,31671.4558435539
4994,101220,1012.20,7522092.63308787,12698.783810231
4995,101221,1012.21,3811999.67023408,9161.71054324489
4996,101222,1012.22,3191370.85445843,9980.60046108369
4997,101300,1013.00,27773766.0761398,29384.8606015747
4998,101400,1014.00,67915323.058883,42668.9289857775
4999,102103,1021.03,12770232.6569498,16349.9350019618
5000,102104,1021.04,17851202.5305395,27555.4663594851
5001,102105,1021.05,5303654.19684813,9962.25112645334
5002,102107,1021.07,139083341.104959,63679.4342694634
5003,103101,1031.01,21846686.860449,25422.1276369158
5004,103102,1031.02,13357089.844174,16530.3942608443
5005,103201,1032.01,21039344.7776208,18231.169375607
5006,103202,1032.02,50999127.7341685,45719.3685524434
5007,103300,1033.00,66105765.8275154,37338.686316574
5008,103401,1034.01,15085817.3115477,20468.5995148766
5009,103402,1034.02,11829767.9803156,14650.197628715
5010,104103,1041.03,10215165.9919457,13241.192064088
5011,104105,1041.05,6292902.13014435,11640.1902309493
5012,104108,1041.08,11803024.8875497,18965.7732704213
5013,104124,1041.24,48221678.206977,39589.7121911457
5014,104201,1042.01,11732587.4481736,14811.353616133
5015,104203,1042.03,7620036.26852789,11052.528498281
5016,104204,1042.04,28675847.315138,30208.0051783803
5017,104310,1043.10,16237239.888238,19099.5181658018
5018,104321,1043.21,5595200.69385422,10641.6984469678
5019,104322,1043.22,7451302.53664307,14607.5628461156
5020,104401,1044.01,7330831.84529608,12432.0534515191
5021,104403,1044.03,7459610.76898681,16071.5334049702
5022,104404,1044.04,5807918.47478888,10935.7094647096
5023,104500,1045.00,5715190.49376526,11300.6651931152
5024,104610,1046.10,6373155.81526004,11599.5380678936
5025,104620,1046.20,5716992.30300292,11300.4366127378
5026,104701,1047.01,5925044.86942017,11097.8773439974
5027,104703,1047.03,12573746.2194128,15301.0496640193
5028,104704,1047.04,17900181.9123921,16925.9887228072
5029,104821,1048.21,5723796.18068991,11302.2410366593
5030,104822,1048.22,6504668.79648795,13769.4332839166
5031,104823,1048.23,5718767.15061467,11300.8036397218
5032,104824,1048.24,6371995.35207776,11599.983838266
5033,106010,1060.10,27098616.7661281,23979.4937387973
5034,106020,1060.20,21718323.7725823,23226.0291990394
5035,106111,1061.11,29992030.2315071,28008.8000157652
5036,106112,1061.12,34747532.1897126,49778.5089867915
5037,106113,1061.13,15535764.4087864,19829.4070252914
5038,106114,1061.14,10918013.3076883,17233.4551913515
5039,106403,1064.03,11899848.719861,14300.5664002158
5040,106405,1064.05,12611159.7950393,14491.7519698528
5041,106406,1064.06,21673389.5238641,21131.5079995254
5042,106407,1064.07,2498435.38474596,6355.67193349523
5043,106408,1064.08,2465456.70492946,6295.67878405502
5044,106510,1065.10,62320912.9736831,37019.9177637572
5045,106520,1065.20,23741526.4562687,19779.3007119943
5046,106603,1066.03,111084787.806959,48440.4636626929
5047,106604,1066.04,28203053.5935319,26326.1705501293
5048,106641,1066.41,12221119.8668957,19091.7847071005
5049,106642,1066.42,16979505.9646457,20368.8791515948
5050,106643,1066.43,46699507.12448,32813.7806306566
5051,106645,1066.45,27207863.2993187,30208.2929391004
5052,106646,1066.46,15888375.2742539,23434.5871432976
