geoid,geoid20,year,denom_occupied_housing,overcrowded_hh_count,overcrowded_hh_pct
1400000US06037101110,6037101110,2022,1551,114,7.3500967
1400000US06037101122,6037101122,2022,1383,11,.79537237
1400000US06037101220,6037101220,2022,1349,137,10.155671
1400000US06037101221,6037101221,2022,1424,237,16.643259
1400000US06037101222,6037101222,2022,928,184,19.827587
1400000US06037101300,6037101300,2022,1425,55,3.8596492
1400000US06037101400,6037101400,2022,1287,95,7.3815074
1400000US06037102103,6037102103,2022,671,21,3.1296573
1400000US06037102104,6037102104,2022,1304,39,2.9907975
1400000US06037102105,6037102105,2022,557,25,4.4883304
1400000US06037102107,6037102107,2022,1202,41,3.4109817
1400000US06037103101,6037103101,2022,967,0,0
1400000US06037103102,6037103102,2022,1631,36,2.2072349
1400000US06037103201,6037103201,2022,1577,189,11.984781
1400000US06037103202,6037103202,2022,635,29,4.5669293
1400000US06037103300,6037103300,2022,1238,37,2.9886913
1400000US06037103401,6037103401,2022,960,0,0
1400000US06037103402,6037103402,2022,1343,134,9.9776621
1400000US06037104103,6037104103,2022,865,92,10.635839
1400000US06037104105,6037104105,2022,1589,132,8.3071117
1400000US06037104108,6037104108,2022,1269,316,24.901497
1400000US06037104124,6037104124,2022,1310,7,.53435117
1400000US06037104201,6037104201,2022,871,243,27.898966
1400000US06037104203,6037104203,2022,1124,265,23.576513
1400000US06037104204,6037104204,2022,715,96,13.426574
1400000US06037104310,6037104310,2022,927,160,17.259979
1400000US06037104321,6037104321,2022,820,157,19.146341
1400000US06037104322,6037104322,2022,445,66,14.831461
1400000US06037104401,6037104401,2022,607,168,27.677101
1400000US06037104403,6037104403,2022,537,141,26.256983
1400000US06037104404,6037104404,2022,756,234,30.952381
1400000US06037104500,6037104500,2022,626,169,26.996805
1400000US06037104610,6037104610,2022,640,242,37.8125
1400000US06037104620,6037104620,2022,722,265,36.703602
1400000US06037104701,6037104701,2022,909,217,23.872387
1400000US06037104703,6037104703,2022,593,169,28.499157
1400000US06037104704,6037104704,2022,1198,321,26.794659
1400000US06037104821,6037104821,2022,752,184,24.468084
1400000US06037104822,6037104822,2022,644,208,32.298138
1400000US06037104823,6037104823,2022,693,276,39.826839
1400000US06037104824,6037104824,2022,510,99,19.411764
1400000US06037106010,6037106010,2022,900,148,16.444445
1400000US06037106020,6037106020,2022,1283,161,12.548714
1400000US06037106111,6037106111,2022,1368,123,8.9912281
1400000US06037106112,6037106112,2022,1394,83,5.9540892
1400000US06037106113,6037106113,2022,1017,100,9.8328419
1400000US06037106114,6037106114,2022,1705,271,15.894428
1400000US06037106403,6037106403,2022,870,118,13.563218
1400000US06037106405,6037106405,2022,1190,103,8.6554623
1400000US06037106406,6037106406,2022,1845,174,9.4308939
1400000US06037106407,6037106407,2022,812,80,9.8522167
1400000US06037106408,6037106408,2022,1000,261,26.1
1400000US06037106510,6037106510,2022,1630,198,12.14724
1400000US06037106520,6037106520,2022,1421,191,13.441238
1400000US06037106603,6037106603,2022,1185,3,.25316456
1400000US06037106604,6037106604,2022,1241,191,15.390814
1400000US06037106641,6037106641,2022,746,25,3.3512065
1400000US06037106642,6037106642,2022,1147,42,3.6617262
1400000US06037106643,6037106643,2022,1353,8,.59127861
1400000US06037106645,6037106645,2022,1246,49,3.9325843
1400000US06037106646,6037106646,2022,963,5,.51921082
1400000US06037106648,6037106648,2022,1171,127,10.845431
1400000US06037106649,6037106649,2022,641,102,15.912637
1400000US06037107010,6037107010,2022,760,134,17.631578
